AccountId,UserId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000VvramIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrbmIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrbmIAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvrmnIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrnBIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrnFIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrpdIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrpiIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrqCIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvruCIAR,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvrzLIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvrztIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvs5nIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvs5pIAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000Vvs5uIAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000Vvs9wIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsBlIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsCbIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsCvIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsEFIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsEXIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsGZIAZ,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvsMYIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvsfaIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvsp8IAB,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000Vvsy9IAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
