AccountId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000VvQrEIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvQrFIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvQrPIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvQrdIAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvQvWIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvQwJIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvQwSIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR5PIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR5cIAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR5fIAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR69IAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR6IIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR6LIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR8OIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR8jIAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvR8nIAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvRLHIA3,Law.com CSM,Edit,Read,None,Edit
001Px00000VvRaQIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvRoBIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvRoMIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvRosIAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvRoxIAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvRp8IAF,Law.com CSM,Edit,Read,None,Edit
001Px00000VvSKqIAN,Law.com CSM,Edit,Read,None,Edit
001Px00000VvSLAIA3,Law.com CSM,Edit,Read,None,Edit
001Px00000VvSLJIA3,Law.com CSM,Edit,Read,None,Edit
001Px00000VvSLLIA3,Law.com CSM,Edit,Read,None,Edit
001Px00000VvSPyIAN,Law.com CSM,Edit,Read,None,Edit
001Px00000VvTB3IAN,Law.com CSM,Edit,Read,None,Edit
001Px00000VvTIYIA3,Law.com CSM,Edit,Read,None,Edit
001Px00000VvTeCIAV,Law.com CSM,Edit,Read,None,Edit
001Px00000VvTeJIAV,Law.com CSM,Edit,Read,None,Edit
