g300_id,g300_name,issues,created_date
0016g00001AODljAAH,Katten Muchin Rosenman LLP,"office_count_stale:field=11,actual=12",2021-01-20T20:08:41.000+0000
001Px00000Vvm5jIAB,Kennedys Law LLP,"office_count_stale:field=1,actual=57",2021-01-20T20:09:12.000+0000
001Px00000VvidmIAB,King & Spalding LLP,"office_count_stale:field=1,actual=30",2021-01-20T20:09:44.000+0000
0016g00001AOEIFAA5,King & Wood,"office_count_stale:field=26,actual=27",2021-01-20T20:09:44.000+0000
001Px00000VvjRBIAZ,Kirkland & Ellis LLP,"office_count_stale:field=1,actual=29",2021-01-20T20:09:57.000+0000
0016g00001AOEXNAA5,"Knobbe, Martens, Olson & Bear, LLP","office_count_stale:field=9,actual=10",2021-01-20T20:10:16.000+0000
0016g00001AOEa4AAH,Kobre & Kim L.L.P.,"office_count_stale:field=16,actual=17",2021-01-20T20:10:22.000+0000
0016g00001AOFbBAAX,Latham & Watkins LLP,"office_count_stale:field=38,actual=39",2021-01-20T20:12:12.000+0000
001Px00000VvMHCIA3,Lathrop GPM LLP,"office_count_stale:field=28,actual=33",2021-01-20T19:12:33.000+0000
0016g00001AOGplAAH,Lewis Brisbois Bisgaard & Smith LLP,"office_count_stale:field=36,actual=41",2021-01-20T20:14:40.000+0000
001Px00000Vvs5iIAB,Linklaters LLP,"office_count_stale:field=1,actual=41",2021-01-20T20:15:29.000+0000
0016g00001AOHKvAAP,Littler Mendelson P.C.,"office_count_stale:field=71,actual=73",2021-01-20T19:59:49.000+0000
0016g00001AOHU6AAP,Loeb & Loeb LLP,"office_count_stale:field=7,actual=9",2021-01-20T20:16:00.000+0000
0016g00001AOHjCAAX,Loyens & Loeff N.V.,"office_count_stale:field=15,actual=16",2021-01-20T20:16:25.000+0000
0016g00001AOIUSAA5,"Manatt, Phelps & Phillips, LLP","office_count_stale:field=14,actual=15",2021-01-20T20:17:58.000+0000
001Px00000VvaqoIAB,"Marshall Dennehey Warner Coleman & Goggin, P.C.","office_count_stale:field=18,actual=19",2021-01-20T20:18:48.000+0000
001Px00000Vvm5tIAB,"Mattos Filho, Veiga Filho, Marrey Jr. e Quiroga Advogados","office_count_stale:field=2,actual=8",2021-01-20T20:19:26.000+0000
001Px00000VwMiWIAV,Mayer Brown LLP,"office_count_stale:field=1,actual=42",2021-01-20T20:19:33.000+0000
001Px00000Vvm5wIAB,McDermott Will & Schulte LLP,"office_count_stale:field=1,actual=39",2021-01-20T20:19:52.000+0000
001Px00000VvMHBIA3,McGuireWoods LLP,"office_count_stale:field=33,actual=35",2021-01-20T20:19:58.000+0000
0016g00001AOKKlAAP,Michael Best & Friedrich LLP,"office_count_stale:field=13,actual=14",2021-01-20T20:21:32.000+0000
0016g00001AOKWxAAP,Milbank LLP,"office_count_stale:field=14,actual=15",2021-01-20T20:22:00.000+0000
0016g00001AOKajAAH,Miller Thomson LLP,"office_count_stale:field=13,actual=23",2021-01-20T20:22:07.000+0000
0016g00001AOKrQAAX,Mishcon de Reya LLP,"office_count_stale:field=7,actual=8",2021-01-20T20:22:37.000+0000
0016g00001AOLWRAA5,Moore & Van Allen PLLC,"office_count_stale:field=2,actual=4",2021-01-20T20:23:49.000+0000
0016g00001ANvnyAAD,Mori Hamada & Matsumoto LPC,"office_count_stale:field=11,actual=12",2021-01-20T19:33:24.000+0000
001Px00000VvVF2IAN,Morrison & Foerster LLP,"office_count_stale:field=1,actual=22",2021-01-20T20:24:09.000+0000
0016g00001AOM5kAAH,"Munger, Tolles & Olson LLP","office_count_stale:field=4,actual=5",2021-01-20T20:25:02.000+0000
0016g00001AONaYAAX,Noerr Partnerschaftsgesellschaft mbB,"office_count_stale:field=18,actual=19",2021-01-20T20:28:17.000+0000
001Px00000VvZUUIA3,Norton Rose Fulbright,"office_count_stale:field=74,actual=75",2021-01-20T20:28:44.000+0000
001Px00000VvTtnIAF,O'Melveny & Myers LLP,"office_count_stale:field=2,actual=25",2021-01-20T20:30:25.000+0000
0016g00001AOONoAAP,"Ogletree, Deakins, Nash, Smoak & Stewart, P.C.","office_count_stale:field=60,actual=72",2021-01-20T20:29:55.000+0000
001Px00000VvaH3IAJ,Osborne Clarke,"office_count_stale:field=1,actual=27",2021-01-20T20:29:30.000+0000
001Px00000VvpWQIAZ,Perkins Coie LLP,"office_count_stale:field=1,actual=34",2021-01-20T20:33:56.000+0000
0016g00001AOQn7AAH,Pillsbury Winthrop Shaw Pittman LLP,"office_count_stale:field=19,actual=20",2021-01-20T20:34:51.000+0000
0016g00001AORGzAAP,Porter Wright Morris & Arthur LLP,"office_count_stale:field=9,actual=11",2021-01-20T20:35:45.000+0000
0016g00001AORkvAAH,"Procopio, Cory, Hargreaves & Savitch LLP","office_count_stale:field=6,actual=8",2021-01-20T20:36:41.000+0000
001Px00000VvRLQIA3,Proskauer Rose LLP,"office_count_stale:field=26,actual=28",2021-01-20T20:36:59.000+0000
001Px00000VvjteIAB,Reed Smith LLP,"office_count_stale:field=1,actual=42",2021-01-20T20:39:29.000+0000
0016g00001AOTx8AAH,Robins Kaplan LLP,"office_count_stale:field=7,actual=9",2016-04-28T17:52:35.000+0000
0016g00001AOU2PAAX,Rödl & Partner GmbH Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft,"office_count_stale:field=29,actual=31",2021-01-20T20:38:17.000+0000
0016g00001AOVKNAA5,Saul Ewing LLP,"office_count_stale:field=19,actual=24",2021-01-20T20:44:04.000+0000
0016g00001AOWTRAA5,Shardul Amarchand Mangaldas & Co,"office_count_stale:field=7,actual=8",2021-01-20T20:46:06.000+0000
0016g00001AOWckAAH,"Sheppard, Mullin, Richter & Hampton LLP","office_count_stale:field=22,actual=23",2021-01-20T20:46:25.000+0000
001Px00000VwYq6IAF,"Shook, Hardy & Bacon L.L.P","office_count_stale:field=1,actual=20",2021-01-20T20:46:43.000+0000
0016g00001AOWnaAAH,"Shumaker, Loop & Kendrick, LLP","office_count_stale:field=8,actual=9",2021-01-20T20:46:43.000+0000
0016g00001AOWqsAAH,Sidley Austin LLP,"office_count_stale:field=31,actual=34",2021-01-20T20:46:48.000+0000
001Px00000VvFZ9IAN,Simmons & Simmons LLP,"office_count_stale:field=1,actual=27",2021-01-20T20:47:07.000+0000
0016g00001AOXJmAAP,"Skadden, Arps, Slate, Meagher & Flom LLP","office_count_stale:field=26,actual=27",2021-01-20T20:47:38.000+0000
0016g00001AO596AAD,"Smith, Gambrell & Russell, LLP","office_count_stale:field=17,actual=18",2021-01-20T19:51:21.000+0000
0016g00001AOYIDAA5,Spencer Fane LLP,"office_count_stale:field=24,actual=28",2021-01-20T19:36:55.000+0000
0016g00001AOYyoAAH,Stephenson Harwood LLP,"office_count_stale:field=14,actual=15",2021-01-20T20:35:45.000+0000
0016g00001AOYz6AAH,Steptoe LLP,"office_count_stale:field=15,actual=19",2021-01-20T20:50:24.000+0000
0016g00001AOZ3vAAH,"Stevens & Lee, P.C.","office_count_stale:field=9,actual=11",2021-01-20T20:50:31.000+0000
0016g00001AOZ6YAAX,Stikeman Elliott LLP,"office_count_stale:field=11,actual=14",2021-01-20T20:50:36.000+0000
0016g00001AOZ77AAH,Stinson LLP,"office_count_stale:field=16,actual=17",2021-01-20T20:50:36.000+0000
0016g00001AOZgjAAH,Sullivan & Cromwell LLP,"office_count_stale:field=18,actual=19",2021-01-20T20:51:37.000+0000
001Px00000VyBosIAF,Susman Godfrey LLP,"office_count_stale:field=1,actual=11",2021-01-20T20:52:07.000+0000
0016g00001AOdUoAAL,Troutman Pepper Locke LLP,"office_count_stale:field=62,actual=68",2021-01-20T20:15:54.000+0000
0016g00001AOdd3AAD,Tucker Ellis LLP,"office_count_stale:field=14,actual=15",2021-01-20T20:58:56.000+0000
0016g00001AOef1AAD,"Uría Menéndez Abogados, S.L.P.","office_count_stale:field=17,actual=18",2021-01-20T21:00:57.000+0000
0016g00001AOf95AAD,Vedder Price P.C.,"office_count_stale:field=11,actual=12",2021-01-20T21:01:52.000+0000
0016g00001AOfBkAAL,Venable LLP,"office_count_stale:field=17,actual=18",2021-01-20T19:50:07.000+0000
0016g00001AOfpAAAT,"Vorys, Sater, Seymour and Pease LLP","office_count_stale:field=7,actual=10",2021-01-20T21:03:17.000+0000
0016g00001AOgatAAD,W&H Law Firm,blank_segmentation,2021-01-20T21:03:23.000+0000
001Px00000Vvm4ZIAR,"Weil, Gotshal & Manges LLP","office_count_stale:field=1,actual=23",2021-01-20T21:04:23.000+0000
001Px00000VvL2BIAV,"Weinberg, Wheeler, Hudgins, Gunn & Dial, LLC","office_count_stale:field=4,actual=5",2021-01-20T21:04:23.000+0000
0016g00001AOgkyAAD,Wiley Rein LLP,"office_count_stale:field=6,actual=7",2021-01-20T21:05:17.000+0000
001Px00000VxW0NIAV,Williams & Connolly LLP,"office_count_stale:field=1,actual=3",2021-01-20T21:05:22.000+0000
001Px00000Vvgn2IAB,Williams Mullen,"office_count_stale:field=5,actual=6",2021-01-20T21:05:22.000+0000
0016g00001AOgqqAAD,Willkie Farr & Gallagher LLP,"office_count_stale:field=18,actual=20",2021-01-20T21:05:22.000+0000
0016g00001AOgrVAAT,Wilmer Cutler Pickering Hale and Dorr LLP,"office_count_stale:field=14,actual=17",2021-01-20T21:05:17.000+0000
001Px00000VvVePIAV,Winston Taylor LLP,"office_count_stale:field=1,actual=46",2021-01-20T19:46:27.000+0000
001Px00000VvNUXIA3,Withersworldwide LLP,"office_count_stale:field=3,actual=23",2021-01-20T20:09:30.000+0000
0016g00001AOhhHAAT,Yulchon LLC,"office_count_stale:field=3,actual=4",2021-01-20T21:07:10.000+0000
0016g00001EYK9oAAH,"Freeman Mathis & Gary, LLP",g300_flag_on_non_firm_record:Office,2021-01-21T10:24:28.000+0000
0016g00001EYK9pAAH,"Freeman Mathis & Gary, LLP",g300_flag_on_non_firm_record:Office,2021-01-21T10:24:28.000+0000
001Px00000hl4JlIAI,"Freeman Mathis & Gary, LLP",g300_flag_on_non_firm_record:Office,2026-04-06T15:56:53.000+0000
001Tm00000MkEPwIAN,"Freeman Mathis & Gary, LLP",g300_flag_on_non_firm_record:Office,2025-09-01T13:32:20.000+0000
